Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
2852613	2821760	5.899000168	2.477999926	-1.006999969	6.443999767	8.156000137	6.336999893	4.052999973	6.113999844	8.144000053	6.221000195	3.756999969
2852633	2821780	5.897999763	2.497999907	-0.8339999914	6.434999943	8.104999542	6.270999908	4.047999859	6.15199995	8.112000465	6.245999813	3.710999966
2852653	2821800	5.889999866	2.509000063	-0.6800000072	6.387000084	8.097999573	6.252999783	4.066999912	6.143000126	8.144000053	6.228000164	3.709000111
2852673	2821820	5.903999805	2.513999939	-0.7670000196	6.454999924	8.126000404	6.255000114	4	6.15500021	8.128000259	6.177000046	3.651000023
2852693	2821840	5.919000149	2.50999999	-0.9449999928	6.478000164	8.180999756	6.282000065	4.03399992	6.175000191	8.149000168	6.204999924	3.644000053
2852713	2821860	5.913000107	2.515000105	-0.9950000048	6.461999893	8.135000229	6.297999859	4.071000099	6.179999828	8.109000206	6.165999889	3.664999962
2852733	2821880	5.93599987	2.526000023	-0.6930000186	6.485000134	8.157999992	6.190999985	4.006999969	6.248000145	8.157999992	6.204999924	3.648999929
2852753	2821900	5.931000233	2.525000095	-0.9629999995	6.468999863	8.157999992	6.275000095	4.071000099	6.197999954	8.151000023	6.204999924	3.653000116
2852773	2821920	5.946000099	2.530999899	-0.7720000148	6.493999958	8.157999992	6.211999893	4.004000187	6.22300005	8.211000443	6.211999893	3.726999998
2852793	2821940	5.945000172	2.536000013	-0.9499999881	6.513999939	8.126000404	6.265999794	4.004000187	6.245999813	8.135000229	6.243000031	3.698999882
2852813	2821960	5.962999821	2.536999941	-0.8550000191	6.539000034	8.163000107	6.230000019	3.95600009	6.217999935	8.164999962	6.221000195	3.720000029
2852833	2821980	5.967000008	2.526000023	-0.7779999971	6.482999802	8.184000015	6.238999844	3.986000061	6.209000111	8.187999725	6.196000099	3.680999994
2852853	2822000	5.975999832	2.532000065	-0.8610000014	6.539000034	8.157999992	6.228000164	3.963000059	6.268000126	8.157999992	6.157000065	3.701999903
2852873	2822020	5.991000175	2.526000023	-0.8889999986	6.53000021	8.232000351	6.21600008	4.011000156	6.234000206	8.100000381	6.147999763	3.674000025
2852893	2822040	5.995999813	2.536000013	-0.90200001	6.558000088	8.171999931	6.211999893	3.983999968	6.262000084	8.149000168	6.197999954	3.698999882
2852913	2822060	6.002999783	2.528000116	-1.014000058	6.558000088	8.229999542	6.252999783	4.001999855	6.28399992	8.170000076	6.179999828	3.637000084
2852933	2822080	6.006000042	2.551000118	-0.9649999738	6.583000183	8.145999908	6.179999828	3.990999937	6.30700016	8.180999756	6.105000019	3.618999958
2852953	2822100	6.020999908	2.54399991	-0.9470000267	6.573999882	8.251000404	6.197999954	4.008999825	6.300000191	8.164999962	6.157000065	3.657999992
2852973	2822120	6.041999817	2.549000025	-1.037999988	6.592000008	8.24600029	6.140999794	3.987999916	6.346000195	8.137000084	6.120999813	3.660000086
2852993	2822140	6.058000088	2.553999901	-0.9810000062	6.596000195	8.241999626	6.126999855	3.967000008	6.28000021	8.157999992	6.102000237	3.630000114
2853013	2822160	6.05700016	2.542000055	-0.8220000267	6.546000004	8.269000053	6.171000004	4.011000156	6.339000225	8.170000076	6.111000061	3.644000053
2853033	2822180	6.063000202	2.553999901	-1.148000002	6.596000195	8.255999565	6.126999855	4.051000118	6.368999958	8.138999939	6.077000141	3.64199996
2853053	2822200	6.070000172	2.555000067	-1.013000011	6.579999924	8.255999565	6.120999813	3.993000031	6.336999893	8.171999931	6.06099987	3.621000051
2853073	2822220	6.06799984	2.559000015	-1.031999946	6.578000069	8.232000351	6.133999825	4.006999969	6.360000134	8.213999748	6.035999775	3.664999962
2853093	2822240	6.06099987	2.571000099	-0.9829999804	6.571000099	8.199999809	6.116000175	4.015999794	6.361999989	8.180999756	6.035999775	3.622999907
2853113	2822260	6.06099987	2.579999924	-1.126000047	6.603000164	8.225000381	6.125	4.051000118	6.34800005	8.180999756	6.022999763	3.599999905
2853133	2822280	6.051000118	2.569000006	-0.9399999976	6.571000099	8.222999573	6.18900013	4.020999908	6.381999969	8.178999901	6.053999901	3.605000019
2853153	2822300	6.071000099	2.582999945	-1.083999991	6.607999802	8.267000198	6.050000191	4.058000088	6.368999958	8.177000046	6.035999775	3.657999992
2853173	2822320	6.080999851	2.588999987	-1.192999959	6.625999928	8.272000313	6.09100008	4.073999882	6.409999847	8.152999878	6.047999859	3.648999929
2853193	2822340	6.085000038	2.589999914	-1.144000053	6.624000072	8.258000374	6.105000019	4.044000149	6.385000229	8.131999969	6.02699995	3.625999928
2853213	2822360	6.09800005	2.592000008	-1.039999962	6.610000134	8.276000023	6.047999859	4.03000021	6.366000175	8.204000473	5.94299984	3.63499999
2853233	2822380	6.102000237	2.611000061	-1.161999941	6.693999767	8.222999573	6.09100008	4.037000179	6.388999939	8.142000198	6.001999855	3.631999969
2853253	2822400	6.097000122	2.60800004	-0.9950000048	6.590000153	8.23900032	6.06099987	4.03000021	6.388999939	8.197999954	5.979000092	3.648999929
2853273	2822420	6.098999977	2.611999989	-1.083999991	6.611999989	8.255999565	6.040999889	4.066999912	6.402999878	8.178999901	6.015999794	3.660000086
2853293	2822440	6.100999832	2.631000042	-0.9720000029	6.649000168	8.194999695	6.022999763	4.025000095	6.390999794	8.164999962	6.032000065	3.701999903
2853313	2822460	6.124000072	2.634000063	-1.052000046	6.681000233	8.276000023	6.001999855	4.018000126	6.454999924	8.12100029	5.977000237	3.686000109
2853333	2822480	6.136000156	2.625999928	-1.121000051	6.677999973	8.295000076	6.045000076	4.015999794	6.478000164	8.144000053	5.960999966	3.769000053
2853353	2822500	6.140999794	2.618000031	-0.9750000238	6.639999866	8.282999992	6.019999981	3.993000031	6.512000084	8.171999931	5.90199995	3.72300005
2853373	2822520	6.151000023	2.632999897	-1.046000004	6.690000057	8.269000053	5.979000092	4.03000021	6.464000225	8.159999847	5.93599987	3.71600008
2853393	2822540	6.15500021	2.641000032	-0.9549999833	6.684999943	8.24600029	5.987999916	3.990999937	6.421000004	8.177000046	5.921999931	3.678999901
2853413	2822560	6.165999889	2.654999971	-0.8899999857	6.693999767	8.251000404	5.93599987	3.994999886	6.485000134	8.197999954	5.918000221	3.664999962
2853433	2822580	6.842000008	2.565999985	-1.565999985	6.666999817	11.51500034	5.960999966	3.971999884	6.467000008	8.201999664	5.913000107	3.694999933
2853453	2822600	6.587999821	2.608999968	-0.8610000014	6.651000023	8.204000473	5.952000141	4.025000095	6.488999844	8.190999985	5.883999825	3.693000078
